account_id,open_date,kyc_risk_score,segment,fraud_ring_id,open_day_offset,account_age_at_sim_start_days,is_cold_start,decision_day_offset,account_age_days_at_decision,txn_count,total_amount,max_amount,amount_std,active_days,rail_diversity,txn_per_active_day,device_degree,component_size,component_id,txn_graph_degree,label_any_fraud,coldstart_risk_score
acct_c571e563fd,2025-10-01,0.12520190725114055,legit,,-92,92,0,90,182,4.0,1101.03,519.04,182.6110428159626,4.0,3.0,1.0,1,2,0,10.0,0,0.10154168604830258
acct_ef1e07bd37,2024-06-09,0.3400541434967749,legit,,-571,571,0,90,661,4.0,432.35,245.73,103.38264405434147,4.0,3.0,1.0,1,2,1,7.0,0,0.04670065487200327
acct_2bdd5c8a37,2025-10-03,0.01587577736153964,legit,,-90,90,0,90,180,6.0,632.7900000000001,294.97,101.79472476508792,5.0,3.0,1.2,1,2,2,15.0,0,0.4595887186042635
acct_1bc92bc714,2024-08-01,0.09373845917652182,legit,,-518,518,0,90,608,7.0,2190.0,999.57,344.7609473589048,7.0,3.0,1.0,1,2,3,12.0,0,0.165841518863021
acct_2819ce2c12,2024-07-05,0.21205088891877014,legit,,-545,545,0,90,635,8.0,1194.3,655.21,216.2650525727301,7.0,4.0,1.1428571428571428,1,2,4,20.0,0,0.031227850305423497
acct_e9aa17aa55,2024-06-18,0.24798386109948534,legit,,-562,562,0,90,652,6.0,552.14,206.72,68.08827525107878,6.0,3.0,1.0,1,2,5,6.0,0,0.005051727191174513
acct_1b9b40b573,2024-04-24,0.35552775698353944,legit,,-617,617,0,90,707,3.0,182.62,83.92,20.082082395342706,3.0,2.0,1.0,1,2,6,13.0,0,0.08997604941463831
acct_681f38933e,2025-01-21,0.34333503225147377,legit,,-345,345,0,90,435,5.0,606.74,265.92,92.53089143631979,5.0,3.0,1.0,1,2,7,11.0,0,0.062561710394088
acct_6495871609,2024-06-03,0.3852689448361639,legit,,-577,577,0,90,667,7.0,1075.61,473.88,165.05162206903347,5.0,3.0,1.4,1,2,8,17.0,0,0.10667330946191239
acct_9e7f11c7e6,2024-09-08,0.30610112107024545,legit,,-480,480,0,90,570,6.0,1692.1100000000001,730.32,297.0129236526025,6.0,3.0,1.0,1,2,9,12.0,0,0.01963379470981503
acct_4d4a2e5e19,2025-01-21,0.2942500940898999,legit,,-345,345,0,90,435,7.0,648.33,195.75,53.85307927703901,7.0,2.0,1.0,1,2,10,17.0,0,0.013560526022527141
acct_9e5b8f3b02,2025-06-26,0.13493408790052014,legit,,-189,189,0,90,279,12.0,1081.79,369.52,99.39657571002529,11.0,4.0,1.0909090909090908,1,2,11,16.0,0,0.09189670398832965
acct_5de772a288,2024-04-11,0.24400889068164966,legit,,-630,630,0,90,720,8.0,560.94,106.08,32.54455352721426,8.0,3.0,1.0,1,2,12,19.0,0,0.003764168580301902
acct_046f292605,2024-05-02,0.22781651637456873,legit,,-609,609,0,90,699,4.0,1250.59,652.8,227.0986916702369,4.0,3.0,1.0,1,2,13,12.0,0,0.02296212071365068
acct_ffb4beb9d5,2024-07-30,0.3967049606408836,legit,,-520,520,0,90,610,6.0,1974.24,1174.49,444.10517911864076,6.0,3.0,1.0,1,2,14,8.0,0,0.13742483894433055
acct_2dbd228db3,2025-03-29,0.23145646215174373,legit,,-278,278,0,90,368,6.0,399.05,183.15,59.0869029199083,6.0,2.0,1.0,1,2,15,13.0,0,0.023475141290755914
acct_1d510c72df,2024-08-15,0.20774397394141245,legit,,-504,504,0,90,594,10.0,2237.41,1180.89,347.4043559328397,9.0,3.0,1.1111111111111112,1,2,16,19.0,0,0.03268880165798677
acct_eb35108bff,2024-06-06,0.31387710226640186,legit,,-574,574,0,90,664,1.0,14.47,14.47,0.0,1.0,1.0,1.0,1,2,17,7.0,0,0.02830986889330224
acct_e0d3b48711,2024-12-19,0.29952791339151863,legit,,-378,378,0,90,468,4.0,610.6,272.2,114.88370032341403,4.0,2.0,1.0,1,2,18,13.0,0,0.008848807008892427
acct_37397931bd,2025-11-02,0.3016985203609459,legit,,-60,60,0,90,150,12.0,1108.4,241.11,57.66833451783229,12.0,2.0,1.0,1,2,19,17.0,0,0.018675639907760402
acct_f2eda68383,2024-02-26,0.20123019803384612,legit,,-675,675,0,90,765,6.0,1350.94,443.44,163.23650359728572,5.0,4.0,1.2,1,2,20,15.0,0,0.02740403808627229
acct_f6a53708e6,2024-06-29,0.18853087251141554,legit,,-551,551,0,90,641,4.0,1071.43,629.84,242.27351545653246,4.0,3.0,1.0,1,2,21,9.0,0,0.04661997743320506
acct_4454d8a0bb,2024-03-09,0.3239175307090595,legit,,-663,663,0,90,753,2.0,340.0,187.16,24.267904730322307,2.0,2.0,1.0,1,2,22,5.0,0,0.031223257506282513
