account_id,open_date,kyc_risk_score,segment,fraud_ring_id,open_day_offset,account_age_at_sim_start_days,is_cold_start,decision_day_offset,account_age_days_at_decision
acct_c571e563fd,2025-10-01,0.12520190725114055,legit,,-92,92,0,90,182
acct_ef1e07bd37,2024-06-09,0.3400541434967749,legit,,-571,571,0,90,661
acct_2bdd5c8a37,2025-10-03,0.01587577736153964,legit,,-90,90,0,90,180
acct_1bc92bc714,2024-08-01,0.09373845917652182,legit,,-518,518,0,90,608
acct_2819ce2c12,2024-07-05,0.21205088891877014,legit,,-545,545,0,90,635
acct_e9aa17aa55,2024-06-18,0.24798386109948534,legit,,-562,562,0,90,652
acct_1b9b40b573,2024-04-24,0.35552775698353944,legit,,-617,617,0,90,707
acct_681f38933e,2025-01-21,0.34333503225147377,legit,,-345,345,0,90,435
acct_6495871609,2024-06-03,0.3852689448361639,legit,,-577,577,0,90,667
acct_9e7f11c7e6,2024-09-08,0.30610112107024545,legit,,-480,480,0,90,570
acct_4d4a2e5e19,2025-01-21,0.2942500940898999,legit,,-345,345,0,90,435
acct_9e5b8f3b02,2025-06-26,0.13493408790052014,legit,,-189,189,0,90,279
acct_5de772a288,2024-04-11,0.24400889068164966,legit,,-630,630,0,90,720
acct_046f292605,2024-05-02,0.22781651637456873,legit,,-609,609,0,90,699
acct_ffb4beb9d5,2024-07-30,0.3967049606408836,legit,,-520,520,0,90,610
acct_2dbd228db3,2025-03-29,0.23145646215174373,legit,,-278,278,0,90,368
acct_1d510c72df,2024-08-15,0.20774397394141245,legit,,-504,504,0,90,594
acct_eb35108bff,2024-06-06,0.31387710226640186,legit,,-574,574,0,90,664
acct_e0d3b48711,2024-12-19,0.29952791339151863,legit,,-378,378,0,90,468
acct_37397931bd,2025-11-02,0.3016985203609459,legit,,-60,60,0,90,150
acct_f2eda68383,2024-02-26,0.20123019803384612,legit,,-675,675,0,90,765
acct_f6a53708e6,2024-06-29,0.18853087251141554,legit,,-551,551,0,90,641
acct_4454d8a0bb,2024-03-09,0.3239175307090595,legit,,-663,663,0,90,753
acct_f30426f805,2025-03-18,0.38547667512650696,legit,,-289,289,0,90,379
acct_2d1888da4f,2025-01-12,0.14918122276449663,legit,,-354,354,0,90,444
acct_1ee6f50198,2025-09-03,0.15106225411705126,legit,,-120,120,0,90,210
acct_acccf38da2,2024-11-02,0.3391905005444131,legit,,-425,425,0,90,515
acct_8c85351238,2024-08-21,0.3151785121966234,legit,,-498,498,0,90,588
acct_9ca5bb88fa,2024-06-13,0.2778593587680064,legit,,-567,567,0,90,657
acct_1ad9667ac0,2024-04-29,0.2640022970968874,legit,,-612,612,0,90,702
acct_4158fb8387,2024-03-14,0.35457145335378276,legit,,-658,658,0,90,748
acct_c0c8fa9ed9,2025-05-15,0.27683146585296187,legit,,-231,231,0,90,321
acct_6c409b8cba,2024-04-29,0.258109488338667,legit,,-612,612,0,90,702
acct_33f9bb0ac6,2025-07-16,0.2846943278427981,legit,,-169,169,0,90,259
acct_7749edd6f1,2024-06-04,0.07514130161732002,legit,,-576,576,0,90,666
acct_f8c62274c2,2024-08-24,0.21163945403712384,legit,,-495,495,0,90,585
acct_c546e4b9a7,2024-11-09,0.17333465821079896,legit,,-418,418,0,90,508
acct_bc5b3f7b67,2025-01-15,0.21698292985279796,legit,,-351,351,0,90,441
acct_a06d3bd7c7,2025-06-14,0.14610026611681082,legit,,-201,201,0,90,291
acct_7a7a5127d1,2025-09-13,0.3661934025509777,legit,,-110,110,0,90,200
acct_2ffe2e5be7,2024-04-13,0.20981379640170703,legit,,-628,628,0,90,718
acct_04b3422b32,2024-11-02,0.26953036781260065,legit,,-425,425,0,90,515
acct_0332979fee,2024-11-02,0.3353471895751426,legit,,-425,425,0,90,515
acct_146df5089e,2024-11-10,0.345201668223991,legit,,-417,417,0,90,507
acct_9b842ea99c,2024-10-07,0.19451778488025195,legit,,-451,451,0,90,541
acct_c1808baaeb,2025-11-11,0.3529571057508585,legit,,-51,51,0,90,141
acct_82082ad493,2025-05-23,0.09691764119944937,legit,,-223,223,0,90,313
acct_8900dfb2df,2025-02-20,0.11400553431958232,legit,,-315,315,0,90,405
acct_3d47a1214a,2024-05-06,0.3096592892864517,legit,,-605,605,0,90,695
acct_4cd0858493,2025-10-23,0.26709108832846784,legit,,-70,70,0,90,160
acct_8ede88344c,2025-02-01,0.1987296824396159,legit,,-334,334,0,90,424
acct_7c7df17784,2024-08-26,0.2690247629292057,legit,,-493,493,0,90,583
acct_701511ece5,2024-01-05,0.2128784152335714,legit,,-727,727,0,90,817
acct_089d41988e,2024-08-24,0.30481302850688935,legit,,-495,495,0,90,585
acct_c7e98ae8c1,2025-04-22,0.2064335384121914,legit,,-254,254,0,90,344
acct_97c0e2255f,2025-08-08,0.2041914527202005,legit,,-146,146,0,90,236
acct_1a3bcf02a5,2024-06-10,0.30843669769426985,legit,,-570,570,0,90,660
acct_0c9d86cbff,2024-07-15,0.19367171917567313,legit,,-535,535,0,90,625
acct_7ba2c498dc,2024-03-12,0.3076895990687091,legit,,-660,660,0,90,750
acct_4dd9a812a7,2024-12-17,0.30358374112359326,legit,,-380,380,0,90,470
acct_dc180de25c,2024-12-21,0.23818174185886917,legit,,-376,376,0,90,466
acct_e0ccdf7969,2025-01-24,0.19920420255470156,legit,,-342,342,0,90,432
acct_90dbc10d6c,2024-08-11,0.04751986792503643,legit,,-508,508,0,90,598
acct_62dd011b72,2024-09-17,0.07634650330922954,legit,,-471,471,0,90,561
acct_dd732b268d,2025-04-07,0.1303303806878222,legit,,-269,269,0,90,359
acct_944a1de7da,2025-09-11,0.2979729072068124,legit,,-112,112,0,90,202
acct_32ded232af,2024-12-21,0.20462049351527323,legit,,-376,376,0,90,466
acct_33cfdc2c51,2024-07-31,0.4059073957343279,legit,,-519,519,0,90,609
acct_8f015e7beb,2025-06-01,0.3385018682160504,legit,,-214,214,0,90,304
acct_29779e406d,2024-06-05,0.13796587839881475,legit,,-575,575,0,90,665
acct_7dfda357ce,2024-07-05,0.13599735341073027,legit,,-545,545,0,90,635
acct_a023f6a935,2025-05-26,0.20931603089193251,legit,,-220,220,0,90,310
acct_e16d4a39e5,2025-09-04,0.042721549216918175,legit,,-119,119,0,90,209
acct_80dbbe06f7,2025-01-17,0.3021308372255029,legit,,-349,349,0,90,439
acct_673a26fd58,2024-05-15,0.1787020053163847,legit,,-596,596,0,90,686
acct_bf74f30f2f,2024-10-23,0.07647305747338545,legit,,-435,435,0,90,525
acct_8f6b9e46e9,2025-11-19,0.1864608749123437,legit,,-43,43,0,90,133
acct_ec0a0a2351,2024-06-20,0.27792114536256446,legit,,-560,560,0,90,650
acct_0d0236fc3b,2025-04-30,0.4422134669585098,legit,,-246,246,0,90,336
acct_42812d4378,2024-09-19,0.22127732470323708,legit,,-469,469,0,90,559
acct_31fe678df8,2024-09-18,0.27151307619475795,legit,,-470,470,0,90,560
acct_84329c3439,2025-10-04,0.2763996020766118,legit,,-89,89,0,90,179
acct_3d83f6faf9,2025-07-30,0.3502133495097494,legit,,-155,155,0,90,245
acct_25975173cb,2024-12-22,0.2928245270979411,legit,,-375,375,0,90,465
acct_d5cf097c10,2024-08-15,0.10734843348125789,legit,,-504,504,0,90,594
