transaction_id,account_id,device_id,counterparty_account_id,timestamp,amount,payment_rail,is_fraud,fraud_type
txn_d89fb982d6,acct_2b9aec9e87,dev_0d69455ea3,acct_b92898c723,2026-01-01 00:03:22.446982,46.87,Check,0,none
txn_735a4d1ac5,acct_3714973b79,dev_311947dda5,acct_75b04abb94,2026-01-01 00:04:50.884005,213.26,RTP,0,none
txn_48a86a9c79,acct_27f8aa97f6,dev_9ddbe8c75a,acct_b77ae7593b,2026-01-01 00:06:08.180217,200.35,ACH,0,none
txn_6ed6c151ec,acct_7749edd6f1,dev_eede9b5612,acct_b6c6a42131,2026-01-01 00:12:12.746695,70.47,Check,0,none
txn_55a39f745a,acct_ac265c0d4b,dev_55ed7ee78c,acct_bfa95b8b7f,2026-01-01 00:34:36.499239,77.69,Check,0,none
txn_1376c9ed91,acct_47f020fb11,dev_c17ac45fec,acct_b4f01d7797,2026-01-01 00:41:10.365429,38.32,RTP,0,none
txn_40d3460748,acct_3fedd4d72e,dev_9bff06e048,acct_c08a6a4693,2026-01-01 00:43:11.645287,7.78,ACH,0,none
txn_9b92118372,acct_75e1a3d3f8,dev_c0781339b6,acct_cb41edfccd,2026-01-01 00:49:27.862158,331.05,RTP,0,none
txn_7670197f58,acct_a3830d65eb,dev_8c67139a70,acct_92741400b0,2026-01-01 00:51:11.718960,21.82,RTP,0,none
txn_67caeeb5b7,acct_2b84d3a681,dev_e2e711cd49,acct_e5651f15ea,2026-01-01 01:07:37.480155,5.0,Check,0,none
txn_9199728ddf,acct_47a33e51c2,dev_a3b35c877f,acct_c08a6a4693,2026-01-01 01:08:43.648147,1719.44,Check,0,none
txn_b97ecd6939,acct_0a5a977a8e,dev_790700a1b2,acct_caa3203ec4,2026-01-01 01:13:38.573812,100.83,RTP,0,none
txn_3e9ebab443,acct_6d73e41734,dev_7b838de1d7,acct_b44b583820,2026-01-01 01:18:00.415838,25.03,ACH,0,none
txn_052872a427,acct_796efcd6db,dev_b045c20c99,acct_5158c77257,2026-01-01 01:27:54.695879,589.84,ACH,0,none
txn_c4551052e5,acct_3e843b05fb,dev_4e93033969,acct_a128a942fc,2026-01-01 01:31:40.807149,28.57,RTP,0,none
txn_b8d6e0a353,acct_9b23c092e0,dev_46ebc32c12,acct_8ed13789bb,2026-01-01 01:41:13.821456,129.68,ACH,0,none
txn_b3fa488bbc,acct_2282ab15a5,dev_f3b89bfc93,acct_6ce0b8bd4e,2026-01-01 01:41:48.143558,24.91,ACH,0,none
txn_3e6335c22f,acct_9e01e037cf,dev_79b74afc00,acct_8cf1a1f4ff,2026-01-01 01:42:28.442415,66.48,ACH,0,none
txn_666d60f601,acct_8583233559,dev_41f275853d,acct_e308a47c8d,2026-01-01 01:50:21.698592,71.82,RTP,0,none
txn_43fb3e39c8,acct_b17f30ff40,dev_7bbfad9e0e,acct_1ef82a7936,2026-01-01 02:01:53.043433,10.91,Check,0,none
txn_ea0ffe0483,acct_73f7749c03,dev_54402a0c3c,acct_5fd12e3223,2026-01-01 02:25:58.629127,86.6,ACH,0,none
txn_ae67d6a888,acct_93bc2fac16,dev_4a2f1dba9d,acct_e39442a793,2026-01-01 02:31:15.564588,10.22,ACH,0,none
txn_2ece9846e4,acct_50deaafd44,dev_d928b2f312,acct_9368d3c918,2026-01-01 02:40:29.671859,90.58,ACH,0,none
txn_c6de686d8c,acct_df9b2dad9b,dev_bb45e086ab,acct_4dffd33aa2,2026-01-01 02:50:08.703490,55.76,Check,0,none
txn_bd691326a9,acct_417115ded7,dev_efda717b9c,acct_6e0ad3238c,2026-01-01 02:52:54.374656,802.49,Wire,0,none
txn_bc45644025,acct_936115a2b1,dev_9048c6b219,acct_e2a78ebfa7,2026-01-01 02:55:43.264958,39.6,ACH,0,none
txn_91868dc7cd,acct_981c1ed01a,dev_02358ddde7,acct_507838de81,2026-01-01 02:57:10.371162,59.92,ACH,0,none
txn_acbc03c964,acct_afc547e887,dev_9e0c6f753d,acct_b4f5190d3f,2026-01-01 02:58:31.812084,28.31,ACH,0,none
txn_21330a4590,acct_08bfa82180,dev_bf2388bca8,acct_2da03b3980,2026-01-01 03:16:55.612187,958.79,RTP,0,none
txn_a2905e1bb1,acct_0d0236fc3b,dev_708f01a5b6,acct_9f1046c2bf,2026-01-01 03:28:33.572731,130.4,RTP,0,none
txn_338dd59654,acct_f26f8b694e,dev_83c7f8f37f,acct_a8beed7521,2026-01-01 03:32:15.981812,387.49,Check,0,none
txn_a40b52ea6a,acct_761cd4a64a,dev_2534b4fb5b,acct_d3a4958c5d,2026-01-01 03:43:58.500138,49.51,RTP,0,none
txn_6fa52725d2,acct_e567640fc8,dev_00c223ec59,acct_d2fa825084,2026-01-01 03:44:38.287505,29.3,ACH,0,none
txn_2b9dba44da,acct_3927f35ce8,dev_fba746908d,acct_cf16f17dfd,2026-01-01 03:48:00.995106,30.81,ACH,0,none
txn_f7f571a71b,acct_86f3a3e626,dev_535ec195f4,acct_b1d804d067,2026-01-01 03:53:54.656434,58.51,RTP,0,none
txn_158803dde8,acct_458965a744,dev_866e7cd0ad,acct_9256086537,2026-01-01 03:54:45.890078,26.47,ACH,0,none
txn_9cda9ae882,acct_bb7c4e297d,dev_3956df5098,acct_01088d3488,2026-01-01 03:59:32.642410,110.4,ACH,0,none
txn_85b8cfd5cf,acct_3452df2dfc,dev_87b806b441,acct_9267991343,2026-01-01 04:01:23.834499,1324.83,ACH,0,none
txn_f0870fce25,acct_a34c0e7ca8,dev_d0dd09b556,acct_e3db63f1f5,2026-01-01 04:06:46.605846,68.2,Check,0,none
txn_f848b64c3e,acct_3f8a845b37,dev_7a7c8f6951,acct_7c7147c299,2026-01-01 04:08:03.151773,29.3,Wire,0,none
txn_8155e2757b,acct_2998e28269,dev_7f1c48b022,acct_d991526d5e,2026-01-01 04:16:47.909033,53.66,RTP,0,none
txn_e743aa6c17,acct_28df4b3375,dev_c1aa8ee867,acct_8ea205bdbe,2026-01-01 04:25:00.032504,312.89,RTP,0,none
txn_105c02ec0d,acct_f7e01ea187,dev_98e875dee0,acct_55531da174,2026-01-01 04:33:35.634296,58.48,RTP,0,none
